

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
031.490  000.074  000.074: require('noice.api')
031.539  000.047  000.047: require('noice.api.status')
031.657  000.052  000.052: require('lualine_require')
031.900  000.353  000.301: require('lualine')
032.757  000.051  000.051: require('lualine.themes.gruvbox_dark')
035.052  000.072  000.072: require('lualine.utils.mode')
037.308  000.054  000.054: require('lualine.extensions.nerdtree')
037.411  006.150  005.401: require('modules.core.lualine')
037.471  000.059  000.059: require('modules.core.scratch')
037.798  000.040  000.040: require('luasnip.session')
037.858  000.059  000.059: require('luasnip.util.util')
037.896  000.037  000.037: require('luasnip.util.types')
037.978  000.041  000.041: require('luasnip.util.ext_opts')
038.006  000.109  000.068: require('luasnip.nodes.util')
038.044  000.037  000.037: require('luasnip.util.events')
038.049  000.344  000.062: require('luasnip.nodes.node')
038.166  000.042  000.042: require('luasnip.util.extend_decorator')
038.172  000.121  000.079: require('luasnip.nodes.insertNode')
038.223  000.050  000.050: require('luasnip.nodes.textNode')
038.265  000.040  000.040: require('luasnip.util.mark')
038.530  000.225  000.225: require('luasnip.util._builtin_vars')
038.580  000.048  000.048: require('vim.inspect')
038.607  000.342  000.069: require('luasnip.util.environ')
038.652  000.043  000.043: require('luasnip.util.pattern_tokenizer')
038.687  000.035  000.035: require('luasnip.util.dict')
038.737  000.049  000.049: require('luasnip.session.snippet_collection')
038.769  001.135  000.110: require('luasnip.nodes.snippet')
038.856  000.043  000.043: require('luasnip.loaders._caches')
038.908  000.051  000.051: require('luasnip.util.path')
038.917  000.147  000.052: require('luasnip.loaders')
038.982  000.058  000.058: require('luasnip.nodes.functionNode')
039.052  000.068  000.068: require('luasnip.nodes.choiceNode')
039.130  000.077  000.077: require('luasnip.nodes.dynamicNode')
039.188  000.057  000.057: require('luasnip.nodes.restoreNode')
039.316  000.041  000.041: require('luasnip.util.parser.neovim_ast')
040.356  000.044  000.044: require('luasnip.util.directed_graph')
040.361  001.131  001.046: require('luasnip.util.parser.ast_utils')
040.442  000.036  000.036: require('luasnip.util.functions')
040.445  000.083  000.047: require('luasnip.util.parser.ast_parser')
040.516  000.071  000.071: require('luasnip.util.parser.neovim_parser')
040.555  000.038  000.038: require('luasnip.util.str')
040.557  001.368  000.045: require('luasnip.util.parser')
040.645  000.041  000.041: require('luasnip.extras.filetype_functions')
040.697  000.047  000.047: require('luasnip.extras')
040.738  000.039  000.039: require('luasnip.extras.fmt')
040.849  000.037  000.037: require('luasnip.extras.conditions')
040.887  000.035  000.035: require('luasnip.extras.conditions.show')
040.889  000.115  000.044: require('luasnip.extras.conditions.expand')
040.890  000.151  000.036: require('luasnip.extras.expand_conditions')
040.932  000.040  000.040: require('luasnip.nodes.absolute_indexer')
041.275  000.717  000.399: require('luasnip.config')
041.277  003.708  000.083: require('luasnip')
041.703  004.184  000.476: require('modules.core.snip.autofill_props_tsx')
041.749  000.045  000.045: require('modules.core.snip.extensions')
041.751  004.278  000.049: require('modules.core.snip')
042.004  000.036  000.036: require('nvim-lsp-installer.core.functional.data')
042.046  000.041  000.041: require('nvim-lsp-installer.core.functional.function')
042.090  000.043  000.043: require('nvim-lsp-installer.core.functional.list')
042.131  000.038  000.038: require('nvim-lsp-installer.core.functional.relation')
042.171  000.039  000.039: require('nvim-lsp-installer.core.functional.logic')
042.214  000.041  000.041: require('nvim-lsp-installer.core.functional.number')
042.255  000.040  000.040: require('nvim-lsp-installer.core.functional.string')
042.319  000.063  000.063: require('nvim-lsp-installer.core.functional.table')
042.358  000.038  000.038: require('nvim-lsp-installer.core.functional.type')
042.359  000.437  000.057: require('nvim-lsp-installer.core.functional')
042.398  000.038  000.038: require('nvim-lsp-installer.core.path')
042.445  000.046  000.046: require('nvim-lsp-installer.settings')
042.553  000.052  000.052: require('nvim-lsp-installer.core.result')
042.588  000.142  000.090: require('nvim-lsp-installer.core.platform')
042.599  000.721  000.057: require('nvim-lsp-installer.log')
042.648  000.049  000.049: require('nvim-lsp-installer.core.async')
042.685  000.036  000.036: require('nvim-lsp-installer.core.async.uv')
042.689  000.855  000.049: require('nvim-lsp-installer.core.fs')
042.729  000.040  000.040: require('nvim-lsp-installer.notify')
042.765  000.035  000.035: require('nvim-lsp-installer.dispatcher')
042.856  000.079  000.079: require('nvim-lsp-installer.core.process')
043.018  000.071  000.071: require('nvim-lsp-installer.core.ui')
043.111  000.040  000.040: require('nvim-lsp-installer.core.ui.state')
043.112  000.094  000.054: require('nvim-lsp-installer.core.ui.display')
043.209  000.096  000.096: require('nvim-lsp-installer.servers')
043.261  000.051  000.051: require('nvim-lsp-installer.jobs.pool')
043.361  000.049  000.049: require('nvim-lsp-installer.jobs.outdated-servers.version-check-result')
043.472  000.054  000.054: require('nvim-lsp-installer.core.spawn')
043.525  000.052  000.052: require('nvim-lsp-installer.core.optional')
043.580  000.055  000.055: require('nvim-lsp-installer.core.installer')
043.583  000.221  000.060: require('nvim-lsp-installer.core.managers.npm')
043.640  000.056  000.056: require('nvim-lsp-installer.core.managers.pip3')
043.691  000.050  000.050: require('nvim-lsp-installer.core.managers.git')
043.745  000.053  000.053: require('nvim-lsp-installer.core.managers.gem')
043.796  000.051  000.051: require('nvim-lsp-installer.core.managers.go')
043.987  000.058  000.058: require('nvim-lsp-installer.core.managers.powershell')
043.989  000.105  000.048: require('nvim-lsp-installer.core.fetch')
043.991  000.148  000.043: require('nvim-lsp-installer.core.managers.cargo.client')
043.993  000.196  000.048: require('nvim-lsp-installer.core.managers.cargo')
044.119  000.071  000.071: require('nvim-lsp-installer.core.managers.std')
044.173  000.054  000.054: require('nvim-lsp-installer.core.managers.github.client')
044.194  000.200  000.076: require('nvim-lsp-installer.core.managers.github')
044.250  000.054  000.054: require('nvim-lsp-installer.core.managers.composer')
044.343  000.047  000.047: require('nvim-lsp-installer.core.clients.eclipse')
044.344  000.093  000.047: require('nvim-lsp-installer.jobs.outdated-servers.jdtls')
044.417  000.072  000.072: require('nvim-lsp-installer.core.managers.luarocks')
044.421  001.159  000.063: require('nvim-lsp-installer.jobs.outdated-servers')
044.473  000.051  000.051: require('nvim-lsp-installer.jobs.version-check')
044.520  000.047  000.047: require('nvim-lsp-installer.ui.server_hints')
044.575  000.053  000.053: require('nvim-lsp-installer.ui.components.settings-schema')
044.580  001.723  000.101: require('nvim-lsp-installer.ui')
044.651  000.069  000.069: require('nvim-lsp-installer._generated.language_autocomplete_map')
044.759  000.108  000.108: require('nvim-lsp-installer._generated.filetype_map')
044.768  002.982  000.074: require('nvim-lsp-installer')
045.232  000.109  000.109: require('vim.lsp.log')
045.562  000.008  000.008: require('vim.F')
045.563  000.330  000.322: require('vim.lsp.protocol')
045.790  000.134  000.134: require('vim.lsp._snippet')
045.840  000.049  000.049: require('vim.highlight')
045.854  000.290  000.107: require('vim.lsp.util')
045.862  000.835  000.106: require('vim.lsp.handlers')
046.480  000.616  000.616: require('vim.lsp.rpc')
046.626  000.145  000.145: require('vim.lsp.sync')
046.937  000.310  000.310: require('vim.lsp.buf')
047.058  000.119  000.119: require('vim.lsp.diagnostic')
047.169  000.110  000.110: require('vim.lsp.codelens')
047.275  002.361  000.225: require('vim.lsp')
047.325  002.466  000.105: require('lspconfig.util')
047.330  002.516  000.050: require('nvim-lsp-installer.middleware')
047.333  005.581  000.083: require('modules.core.lsp-installer')
047.469  000.066  000.066: require('modules.core.autocmd.run')
047.470  000.136  000.070: require('modules.core.autocmd')
047.580  000.060  000.060: require('modules.core.usercmd.uuid')
047.634  000.054  000.054: require('modules.core.usercmd.git')
047.635  000.164  000.050: require('modules.core.usercmd')
047.636  025.668  000.120: require('modules.core')
047.788  000.086  000.086: require('utils')
048.092  000.294  000.294: require('vim.diagnostic')
048.309  000.042  000.042: require('cmp_nvim_lsp.source')
048.312  000.122  000.080: require('cmp_nvim_lsp')
048.346  000.032  000.032: require('modules.lsp.tsserver')
048.421  000.041  000.041: require('lspconfig.configs')
048.438  000.091  000.051: require('lspconfig')
048.546  000.067  000.067: require('nvim-lsp-ts-utils.options')
048.588  000.041  000.041: require('nvim-lsp-ts-utils.utils')
048.624  000.035  000.035: require('nvim-lsp-ts-utils.client')
048.660  000.035  000.035: require('nvim-lsp-ts-utils.define-commands')
048.697  000.036  000.036: require('nvim-lsp-ts-utils.organize-imports')
048.740  000.043  000.043: require('nvim-lsp-ts-utils.import-all')
048.777  000.037  000.037: require('nvim-lsp-ts-utils.rename-file')
048.819  000.041  000.041: require('nvim-lsp-ts-utils.import-on-completion')
048.894  000.033  000.033: require('nvim-lsp-ts-utils.loop')
048.897  000.077  000.044: require('nvim-lsp-ts-utils.watcher')
048.937  000.040  000.040: require('nvim-lsp-ts-utils.inlay-hints')
048.939  000.500  000.048: require('nvim-lsp-ts-utils')
048.980  000.040  000.040: require('lspconfig.server_configurations.tsserver')
049.394  000.040  000.040: require('nvim-lsp-installer.core.receipt')
049.398  000.085  000.045: require('nvim-lsp-installer.core.installer.context')
049.401  000.128  000.042: require('nvim-lsp-installer.server')
049.403  000.171  000.044: require('nvim-lsp-installer.servers.tsserver')
049.526  000.037  000.037: require('modules.lsp.sumneko_lua')
049.567  000.039  000.039: require('lspconfig.server_configurations.sumneko_lua')
049.724  000.044  000.044: require('nvim-lsp-installer.servers.sumneko_lua')
049.767  000.032  000.032: require('modules.lsp.csharp_ls')
049.807  000.038  000.038: require('lspconfig.server_configurations.csharp_ls')
049.964  000.040  000.040: require('nvim-lsp-installer.core.managers.dotnet')
049.965  000.078  000.039: require('nvim-lsp-installer.servers.csharp_ls')
050.003  000.029  000.029: require('modules.lsp.clangd')
050.043  000.039  000.039: require('lspconfig.server_configurations.clangd')
050.201  000.038  000.038: require('nvim-lsp-installer.servers.clangd')
050.244  000.029  000.029: require('modules.lsp.rust_analyzer')
050.284  000.038  000.038: require('lspconfig.server_configurations.rust_analyzer')
050.349  000.038  000.038: require('nvim-lsp-installer.servers.rust_analyzer')
050.385  000.029  000.029: require('modules.lsp.bashls')
050.425  000.038  000.038: require('lspconfig.server_configurations.bashls')
050.505  000.035  000.035: require('nvim-lsp-installer.servers.bashls')
050.583  000.029  000.029: require('modules.lsp.pylsp')
050.618  000.034  000.034: require('lspconfig.server_configurations.pylsp')
050.722  000.048  000.048: require('nvim-lsp-installer.servers.pylsp')
050.780  000.042  000.042: require('modules.lsp.css')
050.830  000.049  000.049: require('lspconfig.server_configurations.cssls')
050.984  000.037  000.037: require('nvim-lsp-installer.servers.vscode-langservers-extracted')
050.985  000.074  000.037: require('nvim-lsp-installer.servers.cssls')
051.026  000.030  000.030: require('modules.lsp.cssmodules')
051.063  000.036  000.036: require('lspconfig.server_configurations.cssmodules_ls')
051.156  000.058  000.058: require('nvim-lsp-installer.servers.cssmodules_ls')
051.198  000.031  000.031: require('modules.lsp.astro')
051.238  000.038  000.038: require('lspconfig.server_configurations.astro')
051.295  000.036  000.036: require('nvim-lsp-installer.servers.astro')
051.331  000.028  000.028: require('modules.lsp.tailwind')
051.376  000.044  000.044: require('lspconfig.server_configurations.tailwindcss')
051.442  000.038  000.038: require('nvim-lsp-installer.servers.tailwindcss')
051.492  003.853  001.319: require('modules.lsp')
052.256  000.040  000.040: require('packer.util')
052.286  000.150  000.110: require('packer')
052.471  000.091  000.091: require('packer.log')
052.473  000.127  000.036: require('packer.async')
052.545  000.034  000.034: require('packer.result')
052.547  000.073  000.039: require('packer.jobs')
052.550  000.250  000.050: require('packer.plugin_utils')
052.599  000.040  000.040: require('packer.snapshot')
052.838  001.314  000.875: require('modules.plugins.packer')
052.931  000.056  000.056: require('nvim-treesitter.configs')
053.041  000.037  000.037: require('nvim-treesitter.info')
053.090  000.047  000.047: require('nvim-treesitter.shell_command_selectors')
053.099  000.148  000.064: require('nvim-treesitter.install')
056.538  003.699  003.496: require('modules.plugins.treesitter')
056.848  000.037  000.037: require('plenary.bit')
056.859  000.100  000.063: require('plenary.path')
056.863  000.142  000.042: require('plenary.strings')
056.899  000.034  000.034: require('telescope.deprecated')
057.042  000.069  000.069: require('plenary.log')
057.051  000.109  000.040: require('telescope.log')
057.149  000.050  000.050: require('plenary.job')
057.184  000.034  000.034: require('telescope.state')
057.187  000.135  000.051: require('telescope.utils')
057.190  000.291  000.047: require('telescope.sorters')
058.361  001.688  001.221: require('telescope.config')
058.461  000.043  000.043: require('plenary.window.border')
058.495  000.033  000.033: require('plenary.window')
058.527  000.032  000.032: require('plenary.popup.utils')
058.529  000.166  000.058: require('plenary.popup')
058.567  000.037  000.037: require('telescope.pickers.scroller')
058.601  000.034  000.034: require('telescope.actions.state')
058.636  000.034  000.034: require('telescope.actions.utils')
058.709  000.035  000.035: require('telescope.actions.mt')
058.715  000.078  000.043: require('telescope.actions.set')
058.787  000.036  000.036: require('telescope.config.resolve')
058.788  000.072  000.036: require('telescope.pickers.entry_display')
058.820  000.032  000.032: require('telescope.from_entry')
058.900  002.311  000.170: require('telescope.actions')
058.972  000.035  000.035: require('telescope.previewers.previewer')
059.057  000.085  000.085: require('telescope.previewers.term_previewer')
059.193  000.032  000.032: require('plenary.context_manager')
059.260  000.032  000.032: require('nvim-treesitter.statusline')
059.296  000.035  000.035: require('nvim-treesitter.query_predicates')
059.297  000.102  000.035: require('nvim-treesitter')
059.299  000.174  000.040: require('telescope.previewers.utils')
060.213  000.913  000.913: require('plenary.filetype')
060.473  000.260  000.260: require('plenary.scandir')
060.535  001.476  000.130: require('telescope.previewers.buffer_previewer')
060.537  001.635  000.039: require('telescope.previewers')
061.925  005.386  001.440: require('modules.plugins.telescope')
062.047  000.034  000.034: require('toggleterm.lazy')
062.080  000.032  000.032: require('toggleterm.constants')
062.137  000.056  000.056: require('toggleterm.terminal')
062.140  000.179  000.057: require('toggleterm')
062.218  000.039  000.039: require('toggleterm.colors')
062.257  000.038  000.038: require('toggleterm.utils')
062.261  000.120  000.043: require('toggleterm.config')
062.413  000.053  000.053: require('toggleterm.commandline')
062.421  000.495  000.142: require('modules.plugins.toggleterm')
062.422  010.929  000.035: require('modules.plugins')
062.423  048.955  000.047: sourcing /Users/david.eriksson/.config/nvim/init.lua
062.435  003.997: sourcing vimrc file(s)
063.190  000.011  000.011: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/luasnip/ftdetect/snippets.vim
063.305  000.007  000.007: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/neorg/ftdetect/norg.vim
063.730  000.008  000.008: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/css.vim
063.800  000.011  000.011: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/graphql.vim
063.863  000.007  000.007: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/html.vim
063.932  000.008  000.008: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/javascript.vim
063.993  000.007  000.007: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/json.vim
064.061  000.008  000.008: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/less.vim
064.142  000.008  000.008: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/lua.vim
064.216  000.019  000.019: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/markdown.vim
064.280  000.008  000.008: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/php.vim
064.347  000.009  000.009: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/ruby.vim
064.411  000.009  000.009: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/scss.vim
064.478  000.010  000.010: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/svelte.vim
064.544  000.013  000.013: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/typescript.vim
064.608  000.010  000.010: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/vue.vim
064.677  000.010  000.010: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/xml.vim
064.743  000.011  000.011: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/yaml.vim
065.165  002.258  002.083: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/filetype.lua
065.632  000.047  000.047: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/syntax/synload.vim
065.680  000.380  000.333: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/syntax/syntax.vim
067.781  000.083  000.083: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/gzip.vim
067.847  000.007  000.007: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/health.vim
068.741  000.107  000.107: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
068.862  000.961  000.854: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/matchit.vim
069.001  000.085  000.085: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/matchparen.vim
069.242  000.180  000.180: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/netrwPlugin.vim
069.445  000.008  000.008: sourcing /Users/david.eriksson/.local/share/nvim/rplugin.vim
069.450  000.144  000.135: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/rplugin.vim
069.543  000.038  000.038: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/shada.vim
069.617  000.013  000.013: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/spellfile.vim
069.726  000.054  000.054: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/tarPlugin.vim
069.845  000.061  000.061: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/tohtml.vim
069.918  000.012  000.012: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/tutor.vim
070.051  000.075  000.075: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/zipPlugin.vim
070.603  000.026  000.026: sourcing /opt/homebrew/Cellar/neovim/HEAD-3de2a7f/share/nvim/runtime/plugin/man.lua
070.627  003.815: loading rtp plugins
074.329  000.174  000.174: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/blamer.nvim/autoload/blamer.vim
074.362  002.708  002.534: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/blamer.nvim/plugin/blamer.vim
075.359  000.040  000.040: require('Comment.config')
075.452  000.053  000.053: require('Comment.ft')
075.454  000.094  000.041: require('Comment.utils')
075.490  000.035  000.035: require('Comment.opfunc')
075.524  000.032  000.032: require('Comment.extra')
075.526  000.267  000.065: require('Comment.api')
075.639  000.400  000.133: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
076.021  000.031  000.031: require('vim.ui')
076.030  000.071  000.041: require('dressing.patch')
076.031  000.108  000.037: require('dressing')
076.035  000.128  000.020: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/dressing.nvim/plugin/dressing.lua
076.244  000.030  000.030: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/formatter.nvim/plugin/formatter.vim
076.866  000.091  000.091: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/hop.nvim/plugin/hop.vim
077.341  000.042  000.042: require('indent_blankline/utils')
077.342  000.098  000.056: require('indent_blankline')
077.459  000.038  000.038: require('indent_blankline.commands')
077.509  000.302  000.166: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
077.874  000.105  000.105: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/lazygit.nvim/plugin/lazygit.vim
078.521  000.089  000.089: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/luasnip/plugin/luasnip.vim
078.855  000.019  000.019: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/neogit/plugin/neogit.lua
079.547  000.042  000.042: require('cmp.utils.api')
079.611  000.031  000.031: require('cmp.types.cmp')
079.682  000.035  000.035: require('cmp.utils.misc')
079.690  000.078  000.043: require('cmp.types.lsp')
079.720  000.029  000.029: require('cmp.types.vim')
079.721  000.173  000.035: require('cmp.types')
079.752  000.030  000.030: require('cmp.utils.highlight')
079.815  000.029  000.029: require('cmp.utils.debug')
079.819  000.066  000.037: require('cmp.utils.autocmd')
079.937  000.457  000.145: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
080.156  000.022  000.022: sourcing /Users/david.eriksson/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
